Array size;Fill function;Pivot function;Time elapsed[s]
540000;Only 0 to 100 values;Random;0.279
540000;Non-decreasing;Random;1.072
550000;Random;Random;1.053
550000;Only 0 to 100 values;Random;0.300
550000;Non-decreasing;Random;1.139
560000;Random;Random;1.097
560000;Only 0 to 100 values;Random;0.253
560000;Non-decreasing;Random;1.088
570000;Random;Random;1.080
570000;Only 0 to 100 values;Random;0.268
570000;Non-decreasing;Random;1.137
580000;Random;Random;1.103
580000;Only 0 to 100 values;Random;0.256
580000;Non-decreasing;Random;1.142
590000;Random;Random;1.195
590000;Only 0 to 100 values;Random;0.255
590000;Non-decreasing;Random;1.157
600000;Random;Random;1.153
600000;Only 0 to 100 values;Random;0.244
600000;Non-decreasing;Random;1.216
610000;Random;Random;1.179
610000;Only 0 to 100 values;Random;0.255
610000;Non-decreasing;Random;1.207
620000;Random;Random;1.215
620000;Only 0 to 100 values;Random;0.263
620000;Non-decreasing;Random;1.333
630000;Random;Random;1.214
630000;Only 0 to 100 values;Random;0.263
630000;Non-decreasing;Random;1.243
640000;Random;Random;1.269
640000;Only 0 to 100 values;Random;0.357
640000;Non-decreasing;Random;1.265
650000;Random;Random;1.314
650000;Only 0 to 100 values;Random;0.309
650000;Non-decreasing;Random;1.285
660000;Random;Random;1.319
660000;Only 0 to 100 values;Random;0.287
660000;Non-decreasing;Random;1.417
670000;Random;Random;1.306
670000;Only 0 to 100 values;Random;0.313
670000;Non-decreasing;Random;1.361
680000;Random;Random;1.353
680000;Only 0 to 100 values;Random;0.315
680000;Non-decreasing;Random;1.360
690000;Random;Random;1.330
690000;Only 0 to 100 values;Random;0.310
690000;Non-decreasing;Random;1.400
700000;Random;Random;1.389
700000;Only 0 to 100 values;Random;0.302
700000;Non-decreasing;Random;1.393
710000;Random;Random;1.388
710000;Only 0 to 100 values;Random;0.325
710000;Non-decreasing;Random;1.449
720000;Random;Random;1.420
720000;Only 0 to 100 values;Random;0.301
720000;Non-decreasing;Random;1.483
730000;Random;Random;1.411
730000;Only 0 to 100 values;Random;0.304
730000;Non-decreasing;Random;1.463
740000;Random;Random;1.467
740000;Only 0 to 100 values;Random;0.301
740000;Non-decreasing;Random;1.476
750000;Random;Random;1.493
750000;Only 0 to 100 values;Random;0.331
750000;Non-decreasing;Random;1.526
760000;Random;Random;1.485
760000;Only 0 to 100 values;Random;0.350
760000;Non-decreasing;Random;1.578
770000;Random;Random;1.503
770000;Only 0 to 100 values;Random;0.366
770000;Non-decreasing;Random;1.546
780000;Random;Random;1.527
780000;Only 0 to 100 values;Random;0.311
780000;Non-decreasing;Random;1.575
790000;Random;Random;1.536
790000;Only 0 to 100 values;Random;0.335
790000;Non-decreasing;Random;1.586
