Array size,Fill function,Pivot function,Time elapsed[s]
540000,Only 0 to 100 values,Random,0.26
540000,Non-decreasing,Random,1.082
550000,Random,Random,1.032
550000,Only 0 to 100 values,Random,0.243
550000,Non-decreasing,Random,1.095
560000,Random,Random,1.064
560000,Only 0 to 100 values,Random,0.263
560000,Non-decreasing,Random,1.122
570000,Random,Random,1.118
570000,Only 0 to 100 values,Random,0.249
570000,Non-decreasing,Random,1.15
580000,Random,Random,1.095
580000,Only 0 to 100 values,Random,0.278
580000,Non-decreasing,Random,1.157
590000,Random,Random,1.138
590000,Only 0 to 100 values,Random,0.248
590000,Non-decreasing,Random,1.183
600000,Random,Random,1.161
600000,Only 0 to 100 values,Random,0.258
600000,Non-decreasing,Random,1.403
610000,Random,Random,1.226
610000,Only 0 to 100 values,Random,0.327
610000,Non-decreasing,Random,1.191
620000,Random,Random,1.226
620000,Only 0 to 100 values,Random,0.323
620000,Non-decreasing,Random,1.235
630000,Random,Random,1.213
630000,Only 0 to 100 values,Random,0.282
630000,Non-decreasing,Random,1.252
640000,Random,Random,1.422
640000,Only 0 to 100 values,Random,0.294
640000,Non-decreasing,Random,1.295
650000,Random,Random,1.292
650000,Only 0 to 100 values,Random,0.329
650000,Non-decreasing,Random,1.269
660000,Random,Random,1.259
660000,Only 0 to 100 values,Random,0.355
660000,Non-decreasing,Random,1.296
670000,Random,Random,1.355
670000,Only 0 to 100 values,Random,0.3
670000,Non-decreasing,Random,1.328
680000,Random,Random,1.33
680000,Only 0 to 100 values,Random,0.307
680000,Non-decreasing,Random,1.359
690000,Random,Random,1.335
690000,Only 0 to 100 values,Random,0.302
690000,Non-decreasing,Random,1.409
700000,Random,Random,1.513
700000,Only 0 to 100 values,Random,0.289
700000,Non-decreasing,Random,1.433
710000,Random,Random,1.407
710000,Only 0 to 100 values,Random,0.339
710000,Non-decreasing,Random,1.445
720000,Random,Random,1.478
720000,Only 0 to 100 values,Random,0.346
720000,Non-decreasing,Random,1.421
730000,Random,Random,1.455
730000,Only 0 to 100 values,Random,0.357
730000,Non-decreasing,Random,1.542
740000,Random,Random,1.414
740000,Only 0 to 100 values,Random,0.361
740000,Non-decreasing,Random,1.491
750000,Random,Random,1.451
750000,Only 0 to 100 values,Random,0.359
750000,Non-decreasing,Random,1.577
760000,Random,Random,1.499
760000,Only 0 to 100 values,Random,0.323
760000,Non-decreasing,Random,1.577
770000,Random,Random,1.538
770000,Only 0 to 100 values,Random,0.385
770000,Non-decreasing,Random,1.554
780000,Random,Random,1.495
780000,Only 0 to 100 values,Random,0.376
780000,Non-decreasing,Random,1.57
790000,Random,Random,1.575
790000,Only 0 to 100 values,Random,0.366
790000,Non-decreasing,Random,1.583
800000,Random,Random,1.583
800000,Only 0 to 100 values,Random,0.362
800000,Non-decreasing,Random,1.636
810000,Random,Random,1.578
810000,Only 0 to 100 values,Random,0.404
810000,Non-decreasing,Random,1.652
820000,Random,Random,1.628
820000,Only 0 to 100 values,Random,0.434
820000,Non-decreasing,Random,1.677
830000,Random,Random,1.589
830000,Only 0 to 100 values,Random,0.368
830000,Non-decreasing,Random,1.693
840000,Random,Random,1.74
840000,Only 0 to 100 values,Random,0.367
840000,Non-decreasing,Random,1.732
850000,Random,Random,1.681
850000,Only 0 to 100 values,Random,0.373
850000,Non-decreasing,Random,1.737
860000,Random,Random,1.666
860000,Only 0 to 100 values,Random,0.357
860000,Non-decreasing,Random,1.723
870000,Random,Random,1.712
870000,Only 0 to 100 values,Random,0.385
870000,Non-decreasing,Random,1.783
880000,Random,Random,1.757
880000,Only 0 to 100 values,Random,0.37
880000,Non-decreasing,Random,1.799
890000,Random,Random,1.714
890000,Only 0 to 100 values,Random,0.405
890000,Non-decreasing,Random,1.764
900000,Random,Random,1.76
900000,Only 0 to 100 values,Random,0.432
900000,Non-decreasing,Random,1.84
910000,Random,Random,1.744
910000,Only 0 to 100 values,Random,0.429
910000,Non-decreasing,Random,1.888
920000,Random,Random,1.831
920000,Only 0 to 100 values,Random,0.446
920000,Non-decreasing,Random,1.94
930000,Random,Random,1.85
930000,Only 0 to 100 values,Random,0.513
930000,Non-decreasing,Random,1.904
940000,Random,Random,1.875
940000,Only 0 to 100 values,Random,0.398
940000,Non-decreasing,Random,1.956
950000,Random,Random,1.894
950000,Only 0 to 100 values,Random,0.387
950000,Non-decreasing,Random,2.003
960000,Random,Random,1.914
960000,Only 0 to 100 values,Random,0.448
960000,Non-decreasing,Random,2.073
970000,Random,Random,1.94
970000,Only 0 to 100 values,Random,0.417
970000,Non-decreasing,Random,2.008
980000,Random,Random,1.969
980000,Only 0 to 100 values,Random,0.455
980000,Non-decreasing,Random,2.013
990000,Random,Random,1.921
990000,Only 0 to 100 values,Random,0.428
990000,Non-decreasing,Random,2.007
1000000,Random,Random,2.005
1000000,Only 0 to 100 values,Random,0.451
1000000,Non-decreasing,Random,2.018
10000,Random,Begin,0.013
10000,Only 0 to 100 values,Begin,0.005
10000,Non-decreasing,Begin,0.096
20000,Random,Begin,0.027
20000,Only 0 to 100 values,Begin,0.009
20000,Non-decreasing,Begin,0.269
30000,Random,Begin,0.04
30000,Only 0 to 100 values,Begin,0.013
30000,Non-decreasing,Begin,0.493
40000,Random,Begin,0.055
40000,Only 0 to 100 values,Begin,0.016
40000,Non-decreasing,Begin,0.759
50000,Random,Begin,0.071
50000,Only 0 to 100 values,Begin,0.024
50000,Non-decreasing,Begin,1.06
60000,Random,Begin,0.08
60000,Only 0 to 100 values,Begin,0.025
60000,Non-decreasing,Begin,1.397
70000,Random,Begin,0.1
70000,Only 0 to 100 values,Begin,0.033
70000,Non-decreasing,Begin,1.757
80000,Random,Begin,0.12
80000,Only 0 to 100 values,Begin,0.033
80000,Non-decreasing,Begin,2.147
90000,Random,Begin,0.132
90000,Only 0 to 100 values,Begin,0.039
90000,Non-decreasing,Begin,2.561
100000,Random,Begin,0.155
100000,Only 0 to 100 values,Begin,0.044
100000,Non-decreasing,Begin,2.999
110000,Random,Begin,0.174
110000,Only 0 to 100 values,Begin,0.054
110000,Non-decreasing,Begin,3.462
120000,Random,Begin,0.184
120000,Only 0 to 100 values,Begin,0.061
120000,Non-decreasing,Begin,3.941
130000,Random,Begin,0.208
130000,Only 0 to 100 values,Begin,0.058
130000,Non-decreasing,Begin,4.489
140000,Random,Begin,0.234
140000,Only 0 to 100 values,Begin,0.059
140000,Non-decreasing,Begin,4.969
150000,Random,Begin,0.236
150000,Only 0 to 100 values,Begin,0.075
150000,Non-decreasing,Begin,5.51
160000,Random,Begin,0.251
160000,Only 0 to 100 values,Begin,0.084
160000,Non-decreasing,Begin,6.07
170000,Random,Begin,0.267
170000,Only 0 to 100 values,Begin,0.07
170000,Non-decreasing,Begin,6.647
180000,Random,Begin,0.288
180000,Only 0 to 100 values,Begin,0.091
180000,Non-decreasing,Begin,7.237
190000,Random,Begin,0.297
190000,Only 0 to 100 values,Begin,0.093
190000,Non-decreasing,Begin,7.847
200000,Random,Begin,0.312
200000,Only 0 to 100 values,Begin,0.094
200000,Non-decreasing,Begin,8.477
210000,Random,Begin,0.325
210000,Only 0 to 100 values,Begin,0.101
210000,Non-decreasing,Begin,9.129
220000,Random,Begin,0.364
220000,Only 0 to 100 values,Begin,0.095
220000,Non-decreasing,Begin,9.783
230000,Random,Begin,0.357
