Array size;Fill function;Pivot function;Time elapsed[s]
870000;Only 0 to 100 values;End;0.352
880000;Random;End;1.594
880000;Only 0 to 100 values;End;0.399
890000;Random;End;1.559
890000;Only 0 to 100 values;End;0.437
900000;Random;End;1.631
900000;Only 0 to 100 values;End;0.357
910000;Random;End;1.621
910000;Only 0 to 100 values;End;0.376
920000;Random;End;1.596
920000;Only 0 to 100 values;End;0.378
930000;Random;End;1.611
930000;Only 0 to 100 values;End;0.420
940000;Random;End;1.686
940000;Only 0 to 100 values;End;0.377
950000;Random;End;1.716
950000;Only 0 to 100 values;End;0.401
960000;Random;End;1.665
960000;Only 0 to 100 values;End;0.430
970000;Random;End;1.748
970000;Only 0 to 100 values;End;0.428
980000;Random;End;1.831
980000;Only 0 to 100 values;End;0.549
990000;Random;End;1.837
990000;Only 0 to 100 values;End;0.442
1000000;Random;End;1.780
1000000;Only 0 to 100 values;End;0.415
