Array size;Fill function;Pivot function;Time elapsed[s]
3000;Only 0 to 100 values;Median of 3 elements;0.005
3000;Non-decreasing;Median of 3 elements;0.004
4000;Random;Median of 3 elements;0.005
4000;Only 0 to 100 values;Median of 3 elements;0.007
4000;Non-decreasing;Median of 3 elements;0.004
5000;Random;Median of 3 elements;0.006
5000;Only 0 to 100 values;Median of 3 elements;0.008
5000;Non-decreasing;Median of 3 elements;0.006
6000;Random;Median of 3 elements;0.007
6000;Only 0 to 100 values;Median of 3 elements;0.010
6000;Non-decreasing;Median of 3 elements;0.008
7000;Random;Median of 3 elements;0.009
7000;Only 0 to 100 values;Median of 3 elements;0.011
7000;Non-decreasing;Median of 3 elements;0.008
8000;Random;Median of 3 elements;0.010
8000;Only 0 to 100 values;Median of 3 elements;0.013
8000;Non-decreasing;Median of 3 elements;0.009
9000;Random;Median of 3 elements;0.012
9000;Only 0 to 100 values;Median of 3 elements;0.015
9000;Non-decreasing;Median of 3 elements;0.010
10000;Random;Median of 3 elements;0.012
10000;Only 0 to 100 values;Median of 3 elements;0.018
10000;Non-decreasing;Median of 3 elements;0.012
11000;Random;Median of 3 elements;0.015
11000;Only 0 to 100 values;Median of 3 elements;0.019
11000;Non-decreasing;Median of 3 elements;0.014
12000;Random;Median of 3 elements;0.015
12000;Only 0 to 100 values;Median of 3 elements;0.021
12000;Non-decreasing;Median of 3 elements;0.015
13000;Random;Median of 3 elements;0.017
13000;Only 0 to 100 values;Median of 3 elements;0.023
13000;Non-decreasing;Median of 3 elements;0.016
14000;Random;Median of 3 elements;0.018
14000;Only 0 to 100 values;Median of 3 elements;0.025
14000;Non-decreasing;Median of 3 elements;0.016
15000;Random;Median of 3 elements;0.020
15000;Only 0 to 100 values;Median of 3 elements;0.027
15000;Non-decreasing;Median of 3 elements;0.017
16000;Random;Median of 3 elements;0.022
16000;Only 0 to 100 values;Median of 3 elements;0.028
16000;Non-decreasing;Median of 3 elements;0.018
17000;Random;Median of 3 elements;0.023
17000;Only 0 to 100 values;Median of 3 elements;0.031
17000;Non-decreasing;Median of 3 elements;0.019
18000;Random;Median of 3 elements;0.023
18000;Only 0 to 100 values;Median of 3 elements;0.031
18000;Non-decreasing;Median of 3 elements;0.021
19000;Random;Median of 3 elements;0.025
19000;Only 0 to 100 values;Median of 3 elements;0.034
19000;Non-decreasing;Median of 3 elements;0.023
20000;Random;Median of 3 elements;0.026
20000;Only 0 to 100 values;Median of 3 elements;0.038
20000;Non-decreasing;Median of 3 elements;0.024
21000;Random;Median of 3 elements;0.028
21000;Only 0 to 100 values;Median of 3 elements;0.039
21000;Non-decreasing;Median of 3 elements;0.026
22000;Random;Median of 3 elements;0.030
22000;Only 0 to 100 values;Median of 3 elements;0.041
22000;Non-decreasing;Median of 3 elements;0.027
23000;Random;Median of 3 elements;0.031
23000;Only 0 to 100 values;Median of 3 elements;0.043
23000;Non-decreasing;Median of 3 elements;0.029
24000;Random;Median of 3 elements;0.034
24000;Only 0 to 100 values;Median of 3 elements;0.045
24000;Non-decreasing;Median of 3 elements;0.031
25000;Random;Median of 3 elements;0.034
25000;Only 0 to 100 values;Median of 3 elements;0.047
25000;Non-decreasing;Median of 3 elements;0.031
26000;Random;Median of 3 elements;0.035
26000;Only 0 to 100 values;Median of 3 elements;0.049
26000;Non-decreasing;Median of 3 elements;0.032
27000;Random;Median of 3 elements;0.036
27000;Only 0 to 100 values;Median of 3 elements;0.051
27000;Non-decreasing;Median of 3 elements;0.033
28000;Random;Median of 3 elements;0.038
28000;Only 0 to 100 values;Median of 3 elements;0.053
28000;Non-decreasing;Median of 3 elements;0.034
29000;Random;Median of 3 elements;0.040
29000;Only 0 to 100 values;Median of 3 elements;0.056
29000;Non-decreasing;Median of 3 elements;0.035
30000;Random;Median of 3 elements;0.040
30000;Only 0 to 100 values;Median of 3 elements;0.059
30000;Non-decreasing;Median of 3 elements;0.036
31000;Random;Median of 3 elements;0.043
31000;Only 0 to 100 values;Median of 3 elements;0.059
31000;Non-decreasing;Median of 3 elements;0.037
32000;Random;Median of 3 elements;0.043
32000;Only 0 to 100 values;Median of 3 elements;0.063
32000;Non-decreasing;Median of 3 elements;0.038
33000;Random;Median of 3 elements;0.045
33000;Only 0 to 100 values;Median of 3 elements;0.064
33000;Non-decreasing;Median of 3 elements;0.039
34000;Random;Median of 3 elements;0.046
34000;Only 0 to 100 values;Median of 3 elements;0.067
34000;Non-decreasing;Median of 3 elements;0.040
35000;Random;Median of 3 elements;0.048
35000;Only 0 to 100 values;Median of 3 elements;0.069
35000;Non-decreasing;Median of 3 elements;0.041
36000;Random;Median of 3 elements;0.048
36000;Only 0 to 100 values;Median of 3 elements;0.071
36000;Non-decreasing;Median of 3 elements;0.044
37000;Random;Median of 3 elements;0.052
37000;Only 0 to 100 values;Median of 3 elements;0.074
37000;Non-decreasing;Median of 3 elements;0.045
38000;Random;Median of 3 elements;0.053
38000;Only 0 to 100 values;Median of 3 elements;0.077
38000;Non-decreasing;Median of 3 elements;0.046
39000;Random;Median of 3 elements;0.053
39000;Only 0 to 100 values;Median of 3 elements;0.081
39000;Non-decreasing;Median of 3 elements;0.048
40000;Random;Median of 3 elements;0.055
40000;Only 0 to 100 values;Median of 3 elements;0.080
40000;Non-decreasing;Median of 3 elements;0.049
41000;Random;Median of 3 elements;0.056
41000;Only 0 to 100 values;Median of 3 elements;0.083
41000;Non-decreasing;Median of 3 elements;0.051
42000;Random;Median of 3 elements;0.058
42000;Only 0 to 100 values;Median of 3 elements;0.088
42000;Non-decreasing;Median of 3 elements;0.052
43000;Random;Median of 3 elements;0.061
43000;Only 0 to 100 values;Median of 3 elements;0.087
43000;Non-decreasing;Median of 3 elements;0.054
44000;Random;Median of 3 elements;0.060
44000;Only 0 to 100 values;Median of 3 elements;0.090
44000;Non-decreasing;Median of 3 elements;0.056
45000;Random;Median of 3 elements;0.063
45000;Only 0 to 100 values;Median of 3 elements;0.092
45000;Non-decreasing;Median of 3 elements;0.057
46000;Random;Median of 3 elements;0.063
46000;Only 0 to 100 values;Median of 3 elements;0.096
46000;Non-decreasing;Median of 3 elements;0.059
47000;Random;Median of 3 elements;0.067
47000;Only 0 to 100 values;Median of 3 elements;0.097
47000;Non-decreasing;Median of 3 elements;0.060
48000;Random;Median of 3 elements;0.067
48000;Only 0 to 100 values;Median of 3 elements;0.102
48000;Non-decreasing;Median of 3 elements;0.062
49000;Random;Median of 3 elements;0.066
49000;Only 0 to 100 values;Median of 3 elements;0.104
49000;Non-decreasing;Median of 3 elements;0.064
50000;Random;Median of 3 elements;0.069
50000;Only 0 to 100 values;Median of 3 elements;0.105
50000;Non-decreasing;Median of 3 elements;0.064
1000;Random;Median of 5 elements;0.002
1000;Only 0 to 100 values;Median of 5 elements;0.002
1000;Non-decreasing;Median of 5 elements;0.001
2000;Random;Median of 5 elements;0.003
2000;Only 0 to 100 values;Median of 5 elements;0.004
2000;Non-decreasing;Median of 5 elements;0.002
3000;Random;Median of 5 elements;0.004
3000;Only 0 to 100 values;Median of 5 elements;0.006
3000;Non-decreasing;Median of 5 elements;0.004
4000;Random;Median of 5 elements;0.006
4000;Only 0 to 100 values;Median of 5 elements;0.008
4000;Non-decreasing;Median of 5 elements;0.004
5000;Random;Median of 5 elements;0.007
5000;Only 0 to 100 values;Median of 5 elements;0.010
5000;Non-decreasing;Median of 5 elements;0.006
6000;Random;Median of 5 elements;0.008
6000;Only 0 to 100 values;Median of 5 elements;0.013
6000;Non-decreasing;Median of 5 elements;0.008
7000;Random;Median of 5 elements;0.010
7000;Only 0 to 100 values;Median of 5 elements;0.015
7000;Non-decreasing;Median of 5 elements;0.009
8000;Random;Median of 5 elements;0.012
8000;Only 0 to 100 values;Median of 5 elements;0.018
8000;Non-decreasing;Median of 5 elements;0.010
9000;Random;Median of 5 elements;0.013
9000;Only 0 to 100 values;Median of 5 elements;0.020
9000;Non-decreasing;Median of 5 elements;0.011
10000;Random;Median of 5 elements;0.015
10000;Only 0 to 100 values;Median of 5 elements;0.023
10000;Non-decreasing;Median of 5 elements;0.013
11000;Random;Median of 5 elements;0.016
11000;Only 0 to 100 values;Median of 5 elements;0.025
11000;Non-decreasing;Median of 5 elements;0.016
12000;Random;Median of 5 elements;0.017
12000;Only 0 to 100 values;Median of 5 elements;0.028
12000;Non-decreasing;Median of 5 elements;0.017
13000;Random;Median of 5 elements;0.019
13000;Only 0 to 100 values;Median of 5 elements;0.030
13000;Non-decreasing;Median of 5 elements;0.018
14000;Random;Median of 5 elements;0.020
14000;Only 0 to 100 values;Median of 5 elements;0.032
14000;Non-decreasing;Median of 5 elements;0.019
15000;Random;Median of 5 elements;0.023
15000;Only 0 to 100 values;Median of 5 elements;0.036
15000;Non-decreasing;Median of 5 elements;0.020
16000;Random;Median of 5 elements;0.024
16000;Only 0 to 100 values;Median of 5 elements;0.038
16000;Non-decreasing;Median of 5 elements;0.021
17000;Random;Median of 5 elements;0.025
17000;Only 0 to 100 values;Median of 5 elements;0.040
17000;Non-decreasing;Median of 5 elements;0.022
18000;Random;Median of 5 elements;0.027
18000;Only 0 to 100 values;Median of 5 elements;0.042
18000;Non-decreasing;Median of 5 elements;0.023
19000;Random;Median of 5 elements;0.027
19000;Only 0 to 100 values;Median of 5 elements;0.044
19000;Non-decreasing;Median of 5 elements;0.025
20000;Random;Median of 5 elements;0.030
20000;Only 0 to 100 values;Median of 5 elements;0.048
