BST,novels/1.txt,to,6,679
Splay,novels/1.txt,to,3,679
BST,novels/1.txt,of,4,660
Splay,novels/1.txt,of,9,660
BST,novels/1.txt,not,6,178
Splay,novels/1.txt,not,6,178
BST,novels/1.txt,on,11,165
Splay,novels/1.txt,on,6,165
BST,novels/1.txt,mrs,13,29
Splay,novels/1.txt,mrs,12,29
BST,novels/1.txt,and,5,1059
Splay,novels/1.txt,and,3,1059
BST,novels/1.txt,quartern,13,1
Splay,novels/1.txt,quartern,18,1
BST,novels/1.txt,now,10,56
Splay,novels/1.txt,now,5,56
BST,novels/1.txt,to,6,679
Splay,novels/1.txt,to,2,679
BST,novels/1.txt,had,12,205
Splay,novels/1.txt,had,16,205
BST,novels/1.txt,and,5,1059
Splay,novels/1.txt,and,2,1059
BST,novels/1.txt,quarter,12,6
Splay,novels/1.txt,quarter,9,6
BST,novels/1.txt,and,5,1059
Splay,novels/1.txt,and,1,1059
BST,novels/1.txt,a,0,704
Splay,novels/1.txt,a,3,704
BST,novels/1.txt,had,12,205
Splay,novels/1.txt,had,3,205
BST,novels/1.txt,of,4,660
Splay,novels/1.txt,of,5,660
BST,novels/1.txt,woe,15,2
Splay,novels/1.txt,woe,12,2
BST,novels/1.txt,what,11,97
Splay,novels/1.txt,what,7,97
BST,novels/1.txt,take,14,10
Splay,novels/1.txt,take,14,10
BST,novels/1.txt,from,9,91
Splay,novels/1.txt,from,21,91
BST,novels/1.txt,round,18,34
Splay,novels/1.txt,round,8,34
BST,novels/1.txt,he,9,485
Splay,novels/1.txt,he,8,485
BST,novels/1.txt,surprise,17,8
Splay,novels/1.txt,surprise,13,8
BST,novels/2.txt,to,5,4163
Splay,novels/2.txt,to,4,4163
BST,novels/2.txt,is,7,860
Splay,novels/2.txt,is,10,860
BST,novels/2.txt,what,7,479
Splay,novels/2.txt,what,9,479
BST,novels/2.txt,carry,18,5
Splay,novels/2.txt,carry,14,5
BST,novels/2.txt,only,11,216
Splay,novels/2.txt,only,11,216
BST,novels/2.txt,to,5,4163
Splay,novels/2.txt,to,3,4163
BST,novels/2.txt,of,7,3611
Splay,novels/2.txt,of,4,3611
BST,novels/2.txt,t,8,20
Splay,novels/2.txt,t,13,20
BST,novels/2.txt,said,5,401
Splay,novels/2.txt,said,13,401
BST,novels/2.txt,she,6,1710
Splay,novels/2.txt,she,5,1710
BST,novels/2.txt,the,3,4331
Splay,novels/2.txt,the,4,4331
BST,novels/2.txt,see,8,149
Splay,novels/2.txt,see,5,149
BST,novels/2.txt,sure,6,102
Splay,novels/2.txt,sure,7,102
BST,novels/2.txt,him,13,764
Splay,novels/2.txt,him,16,764
BST,novels/2.txt,at,5,787
Splay,novels/2.txt,at,8,787
BST,novels/2.txt,had,14,1177
Splay,novels/2.txt,had,4,1177
BST,novels/2.txt,i,12,2070
Splay,novels/2.txt,i,11,2070
BST,novels/2.txt,with,6,1053
Splay,novels/2.txt,with,9,1053
BST,novels/2.txt,danger,19,19
Splay,novels/2.txt,danger,13,19
BST,novels/2.txt,and,1,3585
Splay,novels/2.txt,and,2,3585
BST,novels/2.txt,challenge,10,1
Splay,novels/2.txt,challenge,17,1
BST,novels/2.txt,away,9,117
Splay,novels/2.txt,away,11,117
BST,novels/2.txt,do,15,347
Splay,novels/2.txt,do,13,347
BST,novels/2.txt,been,7,515
Splay,novels/2.txt,been,5,515
BST,novels/2.txt,st,13,7
Splay,novels/2.txt,st,14,7
BST,novels/2.txt,recover,16,6
Splay,novels/2.txt,recover,15,6
BST,novels/2.txt,looking,10,34
Splay,novels/2.txt,looking,18,34
BST,novels/2.txt,to,5,4163
Splay,novels/2.txt,to,6,4163
BST,novels/2.txt,mind,13,57
Splay,novels/2.txt,mind,10,57
BST,novels/2.txt,s,6,650
Splay,novels/2.txt,s,8,650
BST,novels/2.txt,were,8,566
Splay,novels/2.txt,were,7,566
BST,novels/2.txt,feelings,11,86
Splay,novels/2.txt,feelings,21,86
BST,novels/2.txt,will,7,415
Splay,novels/2.txt,will,5,415
BST,novels/2.txt,sorely,14,1
Splay,novels/2.txt,sorely,21,1
BST,novels/2.txt,it,6,1535
Splay,novels/2.txt,it,7,1535
BST,novels/2.txt,his,11,1271
Splay,novels/2.txt,his,7,1271
BST,novels/2.txt,he,12,1336
Splay,novels/2.txt,he,4,1336
BST,novels/2.txt,to,5,4163
Splay,novels/2.txt,to,7,4163
BST,novels/2.txt,before,8,227
Splay,novels/2.txt,before,9,227
BST,novels/2.txt,have,13,842
Splay,novels/2.txt,have,4,842
BST,novels/2.txt,of,7,3611
Splay,novels/2.txt,of,9,3611
BST,novels/2.txt,in,8,1880
Splay,novels/2.txt,in,8,1880
BST,novels/2.txt,to,5,4163
Splay,novels/2.txt,to,2,4163
BST,novels/2.txt,mr,11,786
Splay,novels/2.txt,mr,12,786
BST,novels/2.txt,delight,17,25
Splay,novels/2.txt,delight,11,25
BST,novels/2.txt,approbation,15,7
